Q36_What materials are you using?,Q37_How often do you use these materials?,Q38_Do you find these materials more or less helpful than radio lessons?,Q39_Why
Textbooks,A few times a week,Less,No more time to read because I do other things
Textbooks,A few times a week,Less,Because there is radio poor wave
Textbooks,A few times a week,Less,Because there is weak signal
Practice book from school,A few times a week,Less,I don't have enough time
Study packets,A few times a week,Less,Because no body coaches me
Textbooks,A few times a week,Less,No one explain the terms
Textbooks,A few times a week,Less,No one explain the difficult words for me
Textbooks,A few times a month,Less,Iam doing other things at home
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Because she understands them easy.
Practice book from school,A few times a week,More,Because easy to understand.
,,,
Practice book from school,Daily,More,Because he understands them easily .
,,,
,,,
Practice book from school,A few times a week,Less,Because there is lots of work at home.
,,,
Textbooks,Daily,More,I don't ask questions
,,,
Study packets,A few times a week,More,Learn more
,,,
Study packets,A few times a week,Less,No teachers
Study packets,Other (specify),Less,Network problem
,,,
,,,
Study packets Practice book from school,A few times a week,Less,Because no one is there to tell me what I doesn't understand
,,,
,,,
Study packets Practice book from school,A few times a week,Less,Because most time we are playing with my friends
,,,
,,,
,,,
,,,
Textbooks,A few times a month,More,Because they have full details.
,,,
,,,
Textbooks,Daily,More,I understand more when I see than listening.
Study packets Practice book from school,Daily,Less,No more asking questions
Study packets Practice book from school,A few times a week,Less,No explanation
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,I understand what I read
Other (specify),Other (specify),Less,Was engaged in doing some jobs
,,,
,,,
Other (specify),Other (specify),Less,Only when not busy
Textbooks Study packets,Daily,More,Materials are easily understood
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,I have enough time to study
Practice book from school,A few times a month,About the same,Am busy sometimes in domestic works
,,,
Textbooks Practice book from school,Daily,More,No radio
Textbooks,A few times a week,Less,Engage in some other activities
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,Less,Because no one can help her to explain to her.
Practice book from school,A few times a week,More,Because they are well summarized.
,,,
Practice book from school,A few times a week,More,She is understanding we'll because she guided by one of the students to explain difficult areas.
,,,
,,,
Textbooks,A few times a week,Less,No time to read 
,,,
Textbooks Study packets Practice book from school,A few times a week,More,Easy to understand
,,,
,,,
,,,
Study packets Practice book from school Textbooks,A few times a week,Less,Most time we are engaged with domestic work
Textbooks Study packets Practice book from school,Daily,More,Because he is using Arabic language to simplify for us the lessons
Textbooks Study packets Practice book from school,A few times a week,Less,Because most time am engaged with other activities
Study packets Practice book from school,A few times a week,About the same,Because no one is there to help me do it others are hard to understand
Textbooks Practice book from school,A few times a week,About the same,Because it is not interactive
Practice book from school Textbooks Study packets,A few times a week,More,Because I make more practices on the notes I have then the radio lesson
,,,
Textbooks Practice book from school,A few times a week,Less,No one explain to me some new words
Textbooks Practice book from school,A few times a week,Less,The lessons in radio are well explained than these materials
Textbooks Practice book from school,A few times a week,Less,I don't get any help from
Practice book from school Textbooks,A few times a week,About the same,"I learners new things from the radio than the notes I have at home.
"
Textbooks,A few times a week,Less,I don't get meaning of some words compared to lessons on radio.
Textbooks Practice book from school,A few times a week,Less,Because no teacher to explain for me new words.
Textbooks Practice book from school Study packets,A few times a week,Less,Because of difficulties in pronouncing some English words.
Textbooks Practice book from school,A few times a week,About the same,All what am readings in the books is what being taught in radio lessons.
Textbooks Practice book from school,A few times a week,Less,No one can explain for me new words.
,,,
Textbooks,A few times a week,About the same,I  have no access to radio lessons.
,,,
,,,
,,,
,,,
,,,
,,,
Study packets,A few times a week,Less,No all information is explain
,,,
Study packets,A few times a week,More,Not attended Radio lesson
Study packets Practice book from school,A few times a week,Less,No hope for going back to school
,,,
,,,
Study packets,A few times a week,More,I do revised my previous lessons
,,,
Textbooks,Daily,More,Because it's easy to consult than using a radio. 
Practice book from school,A few times a week,More,It's better and more easier to understand than radio which is only for few time. 
Practice book from school,A few times a week,More,It's more effective than listening on radio. 
Practice book from school,Daily,More,Because I can understand easily than listening on radio. 
Textbooks Practice book from school,A few times a week,More,"Because I can ask what I don't know, for the there's no enough time taken. "
,,,
,,,
,,,
,,,
,,,
Study packets Practice book from school,A few times a week,Less,Because there is no one helping me out in what I doesn't understand at home
Textbooks Study packets,Daily,Less,Be just help the child not to forget
,,,
Study packets Other (specify),Daily,Less,Am not interested on radio lesson
Study packets Other (specify),Daily,Less,I do understand it easily than radios
,,,
Other (specify),Other (specify),Less,I don't read
,,,
,,,
Practice book from school Textbooks,A few times a week,More,My mind opens and I my self continue learning more and getting more knowledge than I could sit idle.
,,,
,,,
Practice book from school,A few times a week,More,I find that more helpful to me than listening to radio.
,,,
Practice book from school,A few times a week,More,I feel more comfortable with reading my own note books than listening to radio.
,,,
,,,
Practice book from school,Daily,More,"Because I can what I don't understand for more clearification. For the radio, no enough time, one can not ask a question."
Practice book from school,A few times a week,More,"I can ask what I don't understand, on radio, I can't."
,,,
Practice book from school,A few times a month,More,Direct learning is more effective than radio.
,,,
Practice book from school,A few times a week,Less,Lessons on radio is better.
Practice book from school,A few times a week,More,"Because I can ask for more explainations, but on radio, it's abi difficult."
Practice book from school,A few times a week,More,It's more effective than radio
,,,
,,,
Practice book from school,A few times a week,More,Because I can understand it than listening on radio.
Practice book from school,A few times a week,More,Radio has no enough time like studying from the books.
,,,
Textbooks Practice book from school,A few times a week,More,"For me, learning from this materials is more effective than radio."
Practice book from school,A few times a week,More,"Radio has no enough time, learning from my materials is effective."
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),Daily,More,It's within my reach
,,,
Practice book from school,A few times a month,More,I have not been attending to the radio lessons
,,,
Other (specify),Daily,More,It exactly what is taught in the class
,,,
Other (specify),A few times a week,More,It's because it involves practical writing and answering questions
,,,
,,,
,,,
,,,
Textbooks Study packets,A few times a week,About the same,She understands radio lesson more
Textbooks,A few times a week,More,Because they are ahead of the sylabus
Textbooks,A few times a week,More,Difference in subjects
Practice book from school Study packets,A few times a week,Less,Because she wants to see her teacher while conducting lessons and she gets it better.
Textbooks,A few times a week,More,They are seen direct
,,,
,,,
Study packets,A few times a week,More,It's direct from the book
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school Textbooks,A few times a week,More,Because many of these learners have no access for radio and their parents as well therefore by reading the available materials they are learning more
,,,
,,,
,,,
Other (specify),A few times a week,More,I understand better when I read by my self
Other (specify),A few times a week,More,Because I don't follow radio lession some time
,,,
Other (specify),A few times a week,Less,All are not helping because am just in senior one have not learnt enough before the closure of the schools
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Because she picks well if she is studying alone in the house.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school Study packets Textbooks,A few times a week,More,Because these are things they have learned and easy to understand 
Practice book from school,A few times a week,More,Because she put more effort daily.
Practice book from school,A few times a week,More,Because there is boy teaching her at home.
Practice book from school,A few times a week,More,Because it was taught for her.
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,I cannot read more alone 
Practice book from school,A few times a week,More,I like reading
Textbooks,A few times a week,Less,No teacher to guide 
,,,
,,,
,,,
,,,
,,,
Study packets Practice book from school,A few times a week,Less,Because the study packets and the notes are not given much this year so am only revising the same notes always no new things 
,,,
Study packets Practice book from school,Daily,Less,Because sometimes it is hard to understand the questions and my brother also doesn't know some of the answers
Study packets Practice book from school,A few times a week,Less,Because no one is helping me in what I doesn't understand
,,,
,,,
,,,
,,,
,,,
,,,
Study packets Textbooks,Daily,More,I can come to the school and ask the teacher. 
,,,
Textbooks Study packets Practice book from school,A few times a week,More,Because there are a lot of things that I can read compared to listening to the radio 
,,,
Textbooks Study packets Practice book from school,Daily,More,I have not listened to the radio learning programs. 
,,,
,,,
Textbooks,A few times a week,More,We can not understand the radio lessons. It requires a teacher next.
,,,
,,,
,,,
,,,
Textbooks Study packets,A few times a week,More,Our group study and reading is better
Practice book from school,A few times a week,More,Best than radio
,,,
Practice book from school,A few times a week,Less,I have time
,,,
Study packets,A few times a week,More,I like the one on my previous lesson
Other (specify),A few times a week,More,Because the lessons target primary pupils
Other (specify),Daily,More,Easy to pick information
Other (specify),A few times a week,Less,The explanation is well understood
,,,
Other (specify),A few times a week,More,Because it's opens our minds
,,,
,,,
,,,
Study packets Textbooks,Daily,Less,No school 
,,,
,,,
,,,
Practice book from school,A few times a week,Less,No.books
,,,
Study packets,A few times a week,More,Easy to understand
,,,
,,,
Study packets,A few times a week,More,Easy to understand
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Because she envloved in domestic work.
,,,
,,,
,,,
Textbooks,A few times a week,More,I am not getting clearly lessons conducted through radio
,,,
,,,
Other (specify),Daily,More,The teachers were not explaining well
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a month,Less,We have a lot of work at home
Textbooks,Daily,More,I want to learn more
Textbooks,A few times a week,More,A lot of work at home
,,,
Study packets,Daily,More,A teacher give a guide
,,,
Textbooks Study packets Practice book from school,A few times a month,Less,No explanation by the teacher.
,,,
Study packets,A few times a week,Less,No explanation by the teachers
,,,
Textbooks Study packets,A few times a week,Less,No more discussion
,,,
,,,
,,,
Practice book from school Study packets,A few times a week,Less,No explanation is given
,,,
,,,
Textbooks Practice book from school,Daily,Less,Nonsupport from teacher
Textbooks Practice book from school,A few times a week,Less,Few books
Textbooks,Daily,Less,But teaching is good
Textbooks,Daily,Less,But we are learning at home which is better than at school 
Practice book from school Textbooks,Daily,Less,Not enough notes to read
,,,
Practice book from school,A few times a week,Less,Little notes to read 
,,,
Study packets Practice book from school,A few times a week,Less,You don't understand everything
Practice book from school,A few times a week,Less,I don't understand some of the notes.
Textbooks Study packets,A few times a week,More,Because in the phones Normally ui evaluate my self
Textbooks Study packets,Daily,More,Because on not explanation but reading some times my Dad use to help me.
Textbooks Study packets Other (specify),A few times a week,More,Radio lessons is only for primary and am in the secondary
,,,
Other (specify),A few times a week,Less,Because they are for my previous classes
,,,
,,,
,,,
,,,
,,,
Practice book from school,Daily,More,My books are OK 
Textbooks,A few times a week,More,I ask my colleagues to help in case of any difficult thing.
Textbooks,A few times a week,About the same,There some other lessons that I don't understand.
Textbooks,A few times a week,More,They make me understand
Textbooks,A few times a week,More,I study together with my colleagues
Textbooks,Daily,Less,No teacher to help us
Textbooks,A few times a week,About the same,No teacher to help
Textbooks,A few times a week,Less,I need a teacher
Textbooks,A few times a month,About the same,I don't understand the books properly
,,,
Textbooks,Daily,More,I understand my books
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,I ask my friends if something is not clear
Textbooks,A few times a week,More,I read and understand
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,More,It makes you understand the previous lessons.
Practice book from school,A few times a week,Less,No teacher to support
Textbooks,A few times a week,Less,No teacher
Textbooks,A few times a week,Less,I need a teacher
,,,
,,,
Study packets,A few times a week,More,They are more important than radio
,,,
Textbooks,Daily,More,When our teacher came it ls helpful
Textbooks,Daily,More,I want to do it
Textbooks,Daily,More,They are good
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because he revises what has learned From school.
Practice book from school,A few times a week,Less,Because there no support from other person.
Practice book from school,A few times a week,More,Because he is revising what have taught for him 
Practice book from school,A few times a week,More,Because he is revising notes which has been taught him.
,,,
,,,
Practice book from school,A few times a week,More,Because she can able to understand them well.
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,On the radio the time is limited but in the books you will take your own time to read
Textbooks,A few times a week,More,Easy to understand
,,,
,,,
Textbooks,A few times a week,About the same,Because am  learning new things
,,,
,,,
Study packets Practice book from school,A few times a week,About the same,It is some how because other  topics are easy to understand and others are hard to understand alone
Textbooks Study packets Practice book from school,A few times a week,Less,"Because Practical can not be practiced at home especially Physic, Mathematics, Chemistry and Biology"
,,,
,,,
,,,
Textbooks Study packets Practice book from school,A few times a week,Less,Because it is hard to understand especially practical lessons
Study packets,Daily,More,Because I understand better and have some to help me.
Study packets Practice book from school,A few times a week,More,Because read for my self and I do understand.
Other (specify),A few times a month,Less,But I don't have radios
,,,
,,,
,,,
Study packets,Daily,More,They have more explanation than radio lessons
,,,
,,,
Study packets Practice book from school,A few times a week,Less,No explanation is given 
Study packets Practice book from school,A few times a week,Less,Proper explanation is not given
,,,
Study packets Practice book from school,A few times a month,Less,If are stack no one can help you
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Little 
Practice book from school Textbooks,A few times a week,More,Because she can understand easily.
Practice book from school,A few times a week,More,Because it is easier to understand them since they are taught to them at school.
Practice book from school,Daily,More,I understood
,,,
,,,
,,,
,,,
Textbooks,Daily,Less,I can not understand the text books without explanation
,,,
,,,
,,,
,,,
,,,
Study packets Practice book from school,Daily,Less,I can not understand the things well and the notes and few
Study packets Other (specify),Daily,More,I do not have radio 
,,,
Textbooks Study packets,A few times a week,More,I have not listened to the radio programs 
Other (specify) Practice book from school,A few times a month,Less,We need teachers to help us in reading 
,,,
Study packets Textbooks,Daily,More,The teachers talk fast in the radio 
,,,
,,,
,,,
Textbooks Study packets,Daily,More,What I listen from the radio can not help me compared to what I see and listen 
,,,
Textbooks Study packets,A few times a week,Less,When reading alone there is no body who can help. The one on air is being said by a teacher and one can understand better 
Textbooks,A few times a week,More,I do not listen more to the radio 
Practice book from school Textbooks,A few times a week,More,I do have the opportunity to listen to the radio 
Textbooks,A few times a week,More,I have no opportunity to listen to radio 
Practice book from school,A few times a week,More,I have not listen to the radios 
Practice book from school,Other (specify),Less,No time to read 
,,,
,,,
,,,
Textbooks Practice book from school,Daily,More,Yes I find it very useful
Study packets Textbooks,Daily,More,I prefer to read what I can see
,,,
Textbooks,A few times a week,Less,Only i am not staying at home I do ather activity while the time of no school
Practice book from school,Daily,Less,We don't have radio but the radio we have belong to my brother it's good to hear but I don't understand
,,,
,,,
Practice book from school,Daily,Less,Because no enough notes and holiday packages having news not taught for them.
,,,
Practice book from school,A few times a week,Less,Because no one can help her to explain to her.
Textbooks Practice book from school,A few times a week,More,Because she can able understand them easily since they were taught at school.
Other (specify),A few times a week,More,One can easily practice
,,,
Practice book from school,A few times a week,More,It's easier to recall things taught for us from school
Textbooks Practice book from school,A few times a week,More,It's easy to understand when reading
,,,
,,,
Textbooks,A few times a week,More,It's the only source of learning for me for the moment
,,,
,,,
,,,
,,,
Other (specify),A few times a week,Less,It's practical and marked by the teachers
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,Easy to understand
Study packets Practice book from school Other (specify),A few times a week,More,Because I always examine and test myself after reading
Practice book from school,Daily,More,Because easy to understand
Practice book from school,A few times a week,Less,It hard to understand some of the terms because am alone no one is helping me 
,,,
,,,
,,,
,,,
,,,
Study packets Practice book from school,A few times a week,About the same,Yeah it easy to understand
Study packets Practice book from school,A few times a week,Less,Because no one is helping me in what I doesn't know and understand
,,,
Study packets Practice book from school,A few times a week,Less,Because it is very hard to understand some of the new terms
Study packets Practice book from school,A few times a week,Less,Because most time we are engaged in other activities
,,,
,,,
Study packets Practice book from school,A few times a week,Less,For me understand more 
,,,
,,,
,,,
Study packets Practice book from school,A few times a month,Less,She cannot understand and no one to ask for explanation.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,I have text books
,,,
Textbooks,A few times a week,More,Makes one to know things
Textbooks,A few times a week,More,Because they one answer questions
Textbooks,A few times a week,More,Through reading them
,,,
,,,
Textbooks,A few times a week,Less,There are some question that are difficult
Textbooks,A few times a week,Less,After reading I gain knowledge
,,,
Practice book from school,A few times a week,Less,Other things I don't understand
Textbooks,A few times a week,Less,No one to help me
Practice book from school,A few times a week,Less,Depends on the topic
Textbooks,A few times a week,More,Through reading I gain
Practice book from school,A few times a week,More,Elder brother help me
Practice book from school,A few times a week,More,My elder brother
Textbooks Practice book from school,A few times a week,Less,No enough time for reading
Textbooks Practice book from school,A few times a week,Less,"Other things,are hard"
,,,
,,,
Textbooks Study packets Other (specify),A few times a week,More,Learn every where  without my books
Textbooks Other (specify),Daily,More,Because I understand better
Practice book from school Other (specify),A few times a week,More,I understand better because my sister used to help me.
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because they were taught from my school
Textbooks,A few times a week,Less,School work isore
Study packets Other (specify),A few times a week,More,"Radio lessons need air time for answering.
No network problems"
,,,
Study packets,Daily,More,Because I read by my self when seeing
,,,
,,,
,,,
Textbooks Other (specify),A few times a week,Less,Because I was not aware of any radio lessons going on.
,,,
,,,
Practice book from school,A few times a week,More,I understand it better.
Practice book from school,Daily,More,Easy to understand
,,,
Textbooks,Daily,Less,The explanation on the radio is cleared that in the school
Practice book from school,A few times a week,More,It's better because I revise Everytime
,,,
,,,
Study packets Practice book from school,A few times a week,More,Easy to understand
Textbooks Study packets Practice book from school,A few times a week,More,Because I have people who always simplify for me what I failed to understand
Study packets Practice book from school,A few times a week,Less,Because am used to face to face teaching
Textbooks Study packets Practice book from school,A few times a week,Less,We are usef to face to face lessons because at school you will ask the teacher there and then for clarification
Study packets Practice book from school Textbooks,A few times a week,Less,Some of the things are hard to understand alone without help of  a teacher
Practice book from school Textbooks,A few times a week,Less,Because there is no one to explain to her.
Textbooks Practice book from school,A few times a week,More,Because it has been taught to him at the school.
Textbooks Practice book from school,A few times a week,More,Because she understands them well since they are taught them .
Practice book from school,A few times a week,Less,Because there is no one to guide him during his reading time..
Practice book from school,A few times a week,Less,Because there is no one to support him during his reading time.
,,,
,,,
Textbooks,A few times a week,More,Same time to hear only without seeing and writing one could not understand
,,,
Textbooks,Daily,More,Ues
,,,
Textbooks,A few times a week,More,They are good and helpful
,,,
,,,
Study packets,A few times a week,More,Easy to understand
Practice book from school,A few times a week,More,"Easy to understand
"
,,,
Practice book from school,A few times a week,More,Easy to understand 
Practice book from school,A few times a week,More,Easy to understand 
,,,
Textbooks Practice book from school,A few times a week,More,Because I don't know how to learn on radio
,,,
,,,
Practice book from school,A few times a week,More,Because it was taught physically to me in the class
Textbooks Practice book from school,A few times a week,About the same,Because it's all about educational programs
,,,
,,,
,,,
,,,
Practice book from school Study packets,A few times a week,Less,Teacher can explain well
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Because I don't know how to learn on radio
,,,
,,,
Practice book from school,A few times a week,More,Because I'm not familiar with radio lessons to compare them
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Because I don't know how to learn on radio to compare them
,,,
,,,
Practice book from school,A few times a month,Less,He finds it difficult to study on his own without being guided.
,,,
Textbooks,A few times a week,More,I understand 
,,,
Textbooks,A few times a week,More,I understand
,,,
,,,
Textbooks,A few times a week,Less,No teàcher
Textbooks,A few times a week,Less, No school
,,,
Practice book from school,A few times a week,Less,No teacher
Practice book from school,A few times a week,Less,No achool
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,More,Because I don't have radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Other (specify),A few times a week,More,Because i do practical calculations and read and re read the passages not as radios 
,,,
,,,
Textbooks Other (specify),A few times a month,More,"Because its practical and radio is  passive, you listen but can't respond immediately."
,,,
Textbooks Other (specify),A few times a month,More,Because i can do practical work than  passive listening to radio lessons 
,,,
Practice book from school,A few times a month,Less,I don't understand what I read.
,,,
,,,
,,,
,,,
Textbooks,Daily,About the same,The using the same details of the lesions on radio.
,,,
,,,
,,,
Study packets Practice book from school,A few times a week,Less,Because most time we girls are engaged for domestic works at home
Study packets Practice book from school Other (specify),A few times a week,Less,Because there is no one helping me out at home to simplify for me hard things which I doesn't understand I have a sister but sometimes she also failed to clarify for me other things
Textbooks Study packets Practice book from school Other (specify),A few times a week,More,Because it is easy to understand and we have a teacher at home who always teaches us with my siblings
Study packets Practice book from school,A few times a week,Less,Hard to understand because all of us are in the same level
Study packets Practice book from school,A few times a week,Less,Because most time we are engaged in domestic works
Study packets Practice book from school,A few times a week,Less,Because most time we are engaged to do domestic works
Study packets Practice book from school,A few times a week,Less,Because in our group we are all in Primary eight so learning new things are hard because we don't have text books even
Study packets Practice book from school,A few times a week,Less,Because sometimes we are engaged in domestic activities and sometimes engaged in peers activities
Textbooks Study packets Practice book from school,A few times a week,Less,Because in school we normally ask teachers to give us examples and simplify for us in simple language but at home no one can explain like the one in school
Textbooks,Daily,Less,I can go over it many times on book
Textbooks Practice book from school,Daily,More,I understand more
,,,
Textbooks,A few times a week,More,I can read many times. 
,,,
,,,
Textbooks Practice book from school,Daily,More,The Radio lessons may be missed because it is quick. 
Textbooks Practice book from school,A few times a week,More,I can concentrate more
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,No enough time
Practice book from school,A few times a month,Less,No text book
Textbooks,A few times a month,Less,No time
Practice book from school,A few times a week,More,Reading help to aware of enbironment
Textbooks,A few times a month,Less,No one helping me
Textbooks,A few times a month,Less,No school
Textbooks,A few times a month,Less,No time
Textbooks,A few times a month,Less,No books
Textbooks,Daily,Less,Is enpught
Practice book from school,A few times a week,Less,Tired of work
Textbooks,A few times a month,Less,No time
Textbooks,A few times a week,Less,A lot of work
Practice book from school,A few times a month,Less,A lot of work
Textbooks Practice book from school,Daily,Less,Reading a lone is difficult
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,They are not enough notes to read 
,,,
Textbooks,A few times a week,Less,There is no explainations 
Textbooks,Daily,Less,The radio should be better 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a month,Less,I don't read daily
Textbooks Practice book from school,A few times a week,More,I have a dictionary at home. It helps me understand meaning of difficult words.
,,,
,,,
Textbooks,A few times a week,Less,Household chores
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,I don't understand English
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because it help me to learned more
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,Less,I don't understand
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,I read and understand
Textbooks,A few times a week,Less,I am busy looking after cattle
,,,
Textbooks Practice book from school,A few times a week,Less,No one helps me
,,,
Textbooks,A few times a week,Less,Very busy with household chores
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because is easier to understand
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school Other (specify),Daily,Less,Because I always do the revision alone without any guidance.
,,,
Textbooks,A few times a week,More,Because I don't attend the radio lessons frequently
Textbooks Other (specify),A few times a week,About the same,After listening to the teaching when I check what was taught I find them the same.
Textbooks Study packets,A few times a week,More,Because I have engagement with these materials and for the radio lessons like maths is not practically seen the way the teacher is doing the calculation.
,,,
Textbooks,A few times a week,More,Because it keep me revising
,,,
,,,
Textbooks,A few times a month,More,Because it keep me learning
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I revised with it
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Study packets Practice book from school,A few times a month,Less,It has no illustration
Textbooks,A few times a week,Less,Because no teacher to guide me
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Study packets Practice book from school,A few times a month,About the same,Because you read alone
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,More,Because it update my mine
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),Daily,More,More because I have the notes with me but that one of the radio I don't have chances of asking or answering questions.
Textbooks,A few times a week,More,Because I don't have access to the radio and I have problem with my hear.
Other (specify),A few times a week,More,Because I didn't attend the radio lessons.
Textbooks Study packets,A few times a week,More,Because I use them physically but for the radio sometimes other things may not be heard well.
,,,
Other (specify),Daily,More,Because I don't listen to radio lessons
Study packets Other (specify),A few times a week,More,It reminds me of the school teaching
,,,
Other (specify),A few times a week,More,Because I don't listen to radio lessons
Other (specify),A few times a week,More,Because I don't listen to radio lessons
Textbooks,A few times a week,More,Because I rarely listen to radio lessons
,,,
,,,
Other (specify),A few times a week,More,Because I don't listen to radio lessons.
,,,
Textbooks,Daily,More,Easy to understand
Other (specify),Other (specify),More,I will listen to education lessons
Practice book from school,Daily,More,More learning takes place
Other (specify),A few times a month,Less,It needs someone to do more explanation
Textbooks,A few times a week,More,I get more knowledge
,,,
Textbooks,A few times a month,More,Easy to understand
Other (specify),A few times a month,Less,Needs additional explaination
Practice book from school,A few times a week,More,Get more knowledge
Textbooks,A few times a week,More,More awareness
Textbooks,A few times a month,More,More knowledge got
Practice book from school,Daily,More,I understand more when I read
Textbooks,Daily,More,More easy to understand than radio lessons
Textbooks Practice book from school,Daily,More,I remember more when I read
Textbooks,Daily,More,Easy to understand
Textbooks Practice book from school,A few times a month,More,Easy to understand
Practice book from school,A few times a month,More,They are really available
Textbooks,Daily,More,Easy to understand
Textbooks,A few times a week,More,Easy to understand
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
