"Q61_When schools re-open, do you think your school will have measures in place to ensure a safe learning environment?",Q62_Why or why not?,Q63_What are your concerns about returning to school?
Yes,The school has the facilities for fighting Corona,The school return so that I go to the next class
No,The school doesn't have facilities for fighting Corona,The school should return so that I move to the next class
No,No face masks and hand washing facilities,It's late for the school to be opened this year because we have not covered enough in first term
No,The school lack funds,No money for paying school fees because in the beginning of the year we have paid school fees for the whole year
Yes,The school will provide hand washing soaps and water for the children to wash their hands with,It's good so that next year I go secondary school
No,The school has limited learning space,The period is small for the school to reopen and administer examination at the end of the year
Yes,They will step up school cleanliness,School to be opened
Yes,Follow coronaviru guidelines,Schools to be opened so that pupils don't forget
Yes,Proper cleanliness of the school compound,I'm happy for the schools to be opened
Yes,But there is need to provide food for the Learners,Schools should be opened for pupils to learn
Yes,They will improve school sanitation,We need schools to resume
Yes,Social distancing,Schools should be opened
Yes,Proper school cleanliness and hand washing,Schools should be opened for pupils to learn
Yes,Emphasis hand,Schools should be opened
Yes,The school environment will be cleaned and coronaviru guidelines will be promoted,The parents should send all children to school
Somewhat,I don't know,I want children to go to school next year
Yes,Teachers know about it,Yes I will go back to school
Yes,I am sure teachers know it,We want children to go back to school
Yes,It is the concern of the teachers,Let school be opened
Somewhat,Teachers know it better,I want to return to school
Somewhat,I don't know,I want to go back to school
Yes,Our teachers know about it,I want to go back to school
No,Population is big and social distance is going to be difficult,Covid-19 and lack of face mask and etc
No,Classroom are few,Nothing
No,Classroom are few,CoronaVirus
No,Limited classroom.,Coronavirus 
No,Limited Classroom,No
Yes,We need to go back to school,No worry
No,Children will get spoil ,Pay school fee and Coronavirus
No,Classes Are limited ,No
No,Classes are limited,Corona
No,Classroom are limited,Covid-19
No,Covid-19,Coronavirus will spread easily.
No,We may not know who has corona,How to cover time lost
No,No worry,Nothing to worry
Yes,He wants to learn ,No concern I will go
Yes,We can take care,No concern 
Somewhat,We can take care but many pupils ,Many pupils 
Somewhat,We can take care of our selves ,No concerns 
Somewhat,We know how to take care ,No
Somewhat,We are many ,I do not fear
Somewhat,Do not know,Many pupils in school 
Yes,I will take care of my self,Nothing 
No,Pupils are many,Nothing
No,Pupils are many and few classroom,Nothing
No,Am not sure if the school will have money for all these.,Schools should be reopened.
No,I have no idea of what they are going to do.,"Teaching should start right from the beginning.
Schools should reopened for all not only candidates classes"
Yes,Hand washing facilities and enough class rooms.,Safe measures in place and  teaching us about coronavirus and how to prevent it.
Yes,Because they have enough facilities like classrooms.,Returning to school.classes should reopen for all not candidates classes only
No,No enough facilities classrooms and hand washing facilities,Nothing 
No,I have no idea, I have nothing
No,I believe the schools should be able to provide all facilities for specific classes,"All needs to be sensitized a bout covid-19 precautionary measures
All needs to follow the measures
New budget need to set and schools  fees should not be demanded in the beginning."
No,They are no facilities such at soaps and hand washing facilities.,It late that schools should not reopened only next year.
No,"I did not check but my school is congested.
The children need to sensitized.","At home I will be sensitized the children about covid-19.
The schools should also follow covid-19 precautionary measures.
"
No,Corona virus is still present,Not good 
No,I do not know,Good
Yes,Teacher can support,Good 
No,I don't know whether the school will have measures in place.,I may repeat the same class next year because the time for lessons will be short.
Yes,God will guard us in everything we do in school.,Many girls got it difficult to read at home.
No,Our teachers will protect us,No
Yes,School administration will put measures in place to protect us from any danger,No
No,No,Repeating the same class
No,Teachers know,I want to complete this academic year
No,I don't know,No
No,I don't know,Repeating the same class
No,The school Administration knows,I don't know
Yes,Coronavirus may spread easily,Covid-19 may not end soon
No,I don't know,No
No,I don't know,Few months remaining for this academic year 2020 to come an end
No,He plays with his friends the whole day,No
No,Teachers know,Sickness
Yes,Our parents and teachers will sit together and make sure that we are safe,Remaining months are very few
Yes,So that children are protected from covid-19,"It's too late, the year has ended"
No,I don't know,Children have wasted a lot of time at home
Yes,The school administration will put measures in place to make sure that children are safe from coronavirus,Time remaining for studies is too short
No,I don't know,This year has ended without education
Yes,Social distancing should be adhered to,Time of resuming the school is too short
No,I don't know,No
No,I don't know,The sickness that is always being announced in the market places
No,The school administration will put necessary measures in place.,Not
Yes,Teachers will support ,Good 
Yes,Safe measures will be in place,Good 
No,I don't know,No
Yes,When safe measures are in place ,Good 
Yes,Safe measure's will in place ,Good 
Yes,The school have all washing facilities,Now it is late l prepere. Next year
Somewhat,I don't know,Let children go back to school
Somewhat,I don't know,I like to be in school
Yes,Teachers are aware of it,I want to go back to school
Somewhat,Teachers are aware of it,To go back to school
Yes,We have stayed home for a long time teachers Will put everything in place,Yes we want children to go to school
Somewhat,I think so,Let the children go back to school
,,
Yes,"Encourage students to put on face masks, maintenances of social distance and washing of hands.",He feels good because he has missed his studies.
Yes,"Because they encourage students to wash hands, put on face masks and social distance.",He feels fine because he wants to finish his senior four.
Yes,"Provision of washing facilities, face masks and Martian scoial distance.",He feels because he wants to continue with his studies.
Yes,"They provide enough rooms for learning, face masks and washing facilities.",He feels okay because he missing a lot of lessons and his friends they studying together.
Yes,"Because they will provide hands washing facilities, encourage students to put on face masks and social distance.",He feels good because he wants his children  to learn. Right now children  are missing a lot.
Yes,"Encourage students to wash hands, put on face masks and social distance.",He feels well because he wants his to have enough time for studies at school 
Yes,"Encourage students to Wash hand facilities, face masks and social distance to be maintained.",She feels well because she wants to complete her primary school.
,,
,,
,,
No,Am confused of what to do,No concern
Yes,Because the school care for their students,My concerns we need the school to be reopened to keep our children very busy to avoid early pregnancy and niggas 
Yes,School can keep everything in place,I want to go back to school
Yes,Because to have to protect us from infection,I need to go back to school to  learn  more things
Yes,The schools can guide them yes,We need the school to be reopened so that our children can learn more new things
Yes,Because the schools can guide us and ensure our safety in school,We need to go back to  school
Yes,The schools will guide us, We need to back to school
Somewhat,Because I heard over the radio that each school should keep their environment Clean and provide all requirements for students safety when school reopen,Am ready to send my children back to school if schools reopen
Somewhat,I think so because it is a must for every school to do that. I heard over the radio that schools should keep the compound clean as preparation of opening schools,When school reopen this year am ready to return to school
Somewhat,Because it is the school responsibility to keep the students safe in the school,Am ready to return to school such that we sit our exam this year
Somewhat,Because it is the responsibility of the school to ensure safety of their students while in school,Am ready to go back to school next week
Yes,Because our school have hygiene and health club in the school which in very sensitive in observation of students safety and health in the school,Am ready to return to school I heard over the radio that they are only reopening S4 but we actually wanted the school to reopen to all the classes
Yes,"We have already planned and prepared for that like handwashing facility, social distancing and hand sanitizer to ensure students safety",Schools should be reopened next year for other classes  only candidate classes should only be reopened because they can keep the guidelines of social distancing
Somewhat,Because it is the duties and responsibilities of the school to keep their students safe and follow the guidelines of the MoH,Am ready to send my children back to school
Yes,Yes because I heard on the radio that schools should Clean their compound and put all the measures in place to ensure reopening of the school and I believe they will follow that guideline,Am ready to go back to school this year such that next year I join S4
Yes,Hand washing facilities and dividing us in shift,Schools should reopened.
Yes,Enough classrooms and facilities for hand washing.,I have not concern
Yes,Hand washing facilities only month mask that we don't have.,The problem of school fees.
Yes,We have hand washing facilities.,I have no concern
Yes,Have enough hand washing facilities and can promote social distancing among the learners.,Most have been relactant to study
Yes,Because it is the policy of the schools to keep the safety of the Learners.,Have no concern because the delay is not caused by government but since schools are starting am happy.
No,Because of the population in the school.,No concern
No,No much fear about Corona,Fear of Coronavirus
No,Corona,No worry 
No,May be no good arrangements are done.,No concern
No,Limited classes,No
No,Limited classes,No fear.
No,No need,No sorry i will go
Somewhat,Government can see how to make school safe,Corona
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
No,I do not lnow,Good
Yes,"Because school Administrators will encourage students to wash hands, put on face masks, and maintain social distance at school.",She feels well because she wants to complete her secondary school.
Yes,"Encourage them to put on face masks, wash hands and seat 1 meter each other.",He feels okay because he is missing his studies.
Yes,Good measures in place,Good
Yes,No.problems,Good
Yes,No problems,Good
No,Np,Good
Yes,Safe measures in place,Good
No,I am tired if staying at home so I will not care about COVID 29. I just want to go to school,I just want to go to school
Yes,Students know how to protect themselves since they are big now,The radio learning are not good for students
Somewhat,T he school is prepared ,Will they be able to sit far from each other
Yes,We can manage to survive in the corona Virus ,In case it's not possible let us wait until next year
Somewhat,"If there is a proper plan and PPEs at the school, I will not be worried ",School may not have all the PPE. There should be medical person at the school to help the teachers 
No,I still fear because the virus is still there. I think we should wait for next year ,The border with Sudan is open and then virus maybe brought from Sudan to Renk
Somewhat,At the moment we do not have corona virus here,I still fear the virus
Yes,We are few in the school and each child has his/ her own chair.,Nothing 
Yes,We have enough chairs and the toilets are enough. The classes are big for all students ,"In October, many learners may go to the field "
Yes,So that we can learn well. No corona virus in Renk ,Nothing 
Yes,The environment is good,Some of the teachers are not around so teaching my not be good
No,We have many children so it's difficult to control them. ,Few classrooms 
Somewhat,The school has many pupils ,Teaching in the school is less 
No,I do not understand this corona virus. People had been dying and if it come. Let the school open and my child will come to school,I want schools to open. The TV radio learning is not good. There are very few families with no television. Where will the pupils of these families study from.
Somewhat,"If indeed there is Corona, the school is missing many things like sanitazers, enough hand washing facilities. Only one water source. No facemask for all pupils ",PPE are not enough. But I think there is no corona 
No,Too many pupils in the school ,"Corona is a virus which has come to the whole world. If indeed there is Corona schools be disinfected. If indeed it is there, schools should be closed. Children are difficult to control. There should be a person from the hospital to control the pupils. The classes are crowded"
No,Is there is Corona then school should not open but if there is no corona then we can open,Too many learners 
Somewhat,Not sure about corona ,No comment 
No,I am sure if there is corona,Let schools open 
Yes,I know how to prevent myself from COVID 19,I am not if all pupils will 
Yes,I know how to protect my self ,Nothing 
No,I will not be the only one,Many people in the class 
Yes,We shall wash hands ,We have stayed at home for long and we will not pass the examinations 
Yes,We stay the same wheather there is Vorona or not ,I might have forgotten other things
Yes,Safe measures in place,Good
Yes,The teachers are aware of it,Let children go back to school
Yes,Teachers are aware of it ,I want children to go back to school
Somewhat,I don't know,I want to go back to school
Yes,I think so,I want the school to be reopen
Somewhat,I don't know,I want children to be in school
No,I don't know,Yes I want to go back to school
Somewhat,Teachers are aware of it,I want to go back to school
Yes,Containers for hand washing available,Children need education for better fiture
Yes,"Because they will encourage learners to seat social distance, washing hands and put on face masks.",She feels well because she wants her children to go back to school.
Yes,"Because they tell learners to wash hands, put on face masks and no greetings each other.",She feels good because she want to continue with her studies.
Yes,"Because school teachers will encourage learners wash hands, put on face masks and make students to maintain social distance.",She feels okay because she her children to go school.
Yes,"Because the teachers will encourage students to maintain social distance, put on face masks an wash hands.",She feels because she don't want to repeat the same class.
Yes,"Because they will encourage the students to wash hands, wear face masks and maintain social distant.",She feels okay because she is getting tried by being at home. She wants to go back to school and continue with her studies.
Yes,The school will put all the necessary facilities for fighting Corona in place,School should reopen so that we continue with our studies
Yes,The school will put few pupils in each class,Children should go back to school because at home they are getting spoiled
Yes,Enough classroom for social distance,It's good to return to school so that I finish the current level and join secondary next year
Yes,The school has water for washing hands and many classes,I feel happy that next year I go to the next class when school reopened
Yes,The school will provide face masks and keep social distance in the class,Schools should return so that I continue with my studies
No,The school lack alot facilities for fighting Corona,Schools should return so that children continue with their studies
No,No enough classrooms,It's good to return to school so that I can move to the next class next year
No,The school has no capacity to acquire facilities for fighting Corona,It's too late to return to school now so returning school is not good for me
No,The school doesn't have funds,Children should return to school so that they continue with studies
No,No handwriting facilities in the school and the school has funds for buying the facilities,It's good so that next year I go to the next class
Yes,The school will run in shifts,It's good so that children go back to school and continue with their studies
No,The school lack funds,The government should first supply school with face masks
No,The school has no capacity,It's late for school to reopen
No,The school has no funds,It's good to open school next year I go to another class
Yes,Washing hands facilities,More studies
Somewhat,Because they have the hand washing facility  and the responsibilities of face mask is for parents,Good but it is too late for the students to go back to schools
Somewhat,The school can guide the students how to prevent corona virus,Good for me
Yes,To protect us from diseases for example COVID 19,Am very ready to returned to school when school
Somewhat,Because there are many students in each class so due to social distancing the space will be enough ,It is good idea but it is now too late because we senior one we did not do anything so it will be very hard for us to cope up with others
Somewhat,I think school only provide water and hand sanitizer but can not provide face mask for all the students,We need to go back to  schools and we are ready as per now
Yes,Because the school have already put everything in place when we went for cash transfer,Good move to hear on the radio that the government want to reopen schools am more than ready to go back but till next year
,,
No,Because coronas is still there and no treatment for it once you are affected.,He is not ready to return to school because issue of coronas is not yet sure
,,
Yes,It is school responsibility and duties to keep their students safe while in school and we parents take it from from home,According to me all the classes should resume normal lessons exception of Nursery because learners are not concentrating on studies at home
Yes,Because there are some guidelines to be followed by all the schools any schools failing to abide by will be punished by MoGEI,To me as a parent it is now too late to reopen schools so at least the Ministry of Education should consider reopening next year and everything start as a new year
Somewhat,Yeah because the school always care about our health and well being,Let school reopen because staying idle is not good for us it can make us lose hope and think of negative things
Somewhat,Yes they will put in place everything because I witnessed this during the recent cash transfer face one,Am ready to return to school
Somewhat,I have no idea but I believe they will do so like handwashing tap they already have in the school and social distancing ,Am ready to start classes on Monday because I heard over the radio school is opening on Monday so am now well prepared
Yes,"When I went to collect holiday package I found the school have put in place all the materials for preventive measures like hand sanitizer, washing tap and soap",According to me the other classes should be reopened also
Yes,Yeah because it is there responsibility,Am ready to go back to school
,,
,,
Yes,No fear for corona,Nothing to worry
No,Limited ,Nothing to worry about
No,Classes  are limited,Nothing
Yes,Mask and hand washing facilities,Nothing
Yes,Don't know.,Coronavirus 
No,I have not heard,Schools should open
Somewhat,No hand washing facilities,Yes
Somewhat,Hand washing facilities available,School should open
Somewhat,Some are there,Yes
Somewhat,Hand washing facilities available,Yes
Somewhat,No covod 19,School should be open
Somewhat,No more covod,Schools should open
Yes,No more covid 19,Schools should be oprn
Yes,Teachers will control them,Schools should be open and classes resume
No,No hand washing facilities,Yes
Yes,Hand washing facilities available,Schools should open
Yes,Hand washing facilities are available,Yes
No,No hand washing facilities,Yes
No,No money,Yes
Somewhat,Hand washing facilities got spoiled,No
No,Hand washing facilities got spoiled,Yes
Yes,There soap and hand washing facilities,Yes
Somewhat,Hand washing facilities available,Yes
No,Hand washing facilities got spoiled,Yes
Somewhat,Teachers will take precautions,Yes
Somewhat,No hand washing facilities,Yes
Somewhat,There are saop,Yes
Somewhat,Hand washing facilities available,Yes
Somewhat,But no enough,No
Somewhat,There need for more,Yes
Yes,Hand washing facilities available,Yes
Yes,Hand washing facilities available,Yes
Yes,They have all the facilities,Hunger and the school fees problems
No,They have no enough facilities and hand washing facilities,Repeating class next year is my main concern.
Yes,Hand washing facilities and enough water,We didn't cover all unless calendar is extended so that we can learn cover all .March to April next year 2021
No,The don't have all the facilities,Nothing am read for schools to reopened 
Yes,Because the facilities are enough in the school,I need the topics to be completed and the schools should reopened for all.
Yes,Have enough facilities,Have no concerns schools should reopen.
Yes,We have hand Washing facilities and use all covid19 precautionary measures in the schools .,"The schools must start and classes will in shift .
Most girls have leaves schools unless schools start or reopen to prevent that ."
Yes,"Yes,they have enough facilities and Hand washing facilities and precautionary measures.","Problems of finance for payment of school fees
Government should reopen schools for all not only candidates classes because they are the future.
High rate of pregnancy among the girls because of no schools"
Yes,Pupils will wear face mask and there will be sanitizer,To resume my studies
No,No idea,Good
Yes,Have enough facilities and follow coronavirus precautionary measures.,"Staying at home
Girls money should be paid 10,000 ssp"
Yes,There will be use of face mask.,I love them to be in school because they will be the future of this country.
Yes,Have enough facilities classrooms and face mask,The school should  be reopened.
No,Because of the spaces,Nothing
Yes,Measures will be kept in place like hand washing and putting face mask .,"Children should not moving in the market places, they are safe at school."
No,We don't have  enough facilities in the schools,Schools to reopen so that I learn in schools.
Yes,"Follow coronavirus precautionary measures,have enough water for sanitation.",Academic year must be completed this year and syllabus must be covered if possible.
Yes,"Yes ,because it's not only covid -19 that only matter, there are an other disease before it being protected using hand washing materials, so we must keep doing the same","Yes, since the school closure up to now ,there are classes which don't learn, like one to four(1-4) so these learners are the affected ones, they need to learn but there is no need for them now and they are the most populated ones."
No,The classrooms are small to accommodate children. ,Let more classrooms created to accommodate children to avoid crowding.
Yes,There will be measures like use of face mask and sanitizer.,To learn 
Yes,The school has all the facilities for fighting Corona,It's good to go back to school so that I finish my primary cycle and join secondary School next year
Yes,The teachers will make sure every child was hands with soap before entering to the compound,It's not good to only allow only candidates go to school leaving some classes out
Yes,They have enough classrooms ,It's good so that I finish the level am in and move to another level
Yes,The school will continuously be telling us the measures of Corona,I want to return to school to get more knowledge
Yes,Because all the time the school is organized whenever they call parents meeting everything is in place so I think they will do the same to prevent their pupils from infection,According to me schools should reopen next year because it is too late for all the classes to finish the syllabus this year
Yes,"Because when we went recently for parent meeting the school put everything in place including handwashing tap, soaps and hand sanitizer ",Let the government reopen schools for all the classes inorder to avoid academic gaps
Yes,Yes because it is their responsibility to keep their pupils safe while in school,Am ready return to school
Yes,During this recent cash transfer the school have put in place all the measures and massage about Corona virus on the board to guide pupils,Am ready to go back to school but next year because it is too late right now
Somewhat,Because we already have hygiene club in our school who are oversee the safety and health while in school,Am ready to go back to school
Somewhat,"When I went to school for this recent cash transfer face one the school have put in place all the preventive measures in place things like washing tap, hand sanitizer",We are ready and well prepared to return on Monday because am in P8 and classes is starting on Monday
Yes,Yes because our health and safety in school is their responsibility,Am not ready to return to school this year because it is too late better next year then we start everything fresh
Yes,"Because they will be encouraged to wash hands, put on face masks and no greeting each other.",She feels okay because she wants to continue with her studies.
Yes,They provide safety measures for Covid 19 to students to follow.,He feels well because he has missed his learning.
Yes,"They encourage students to put on face masks, wash hands and no greeting each other.",She feels because she wants to be promoted to next class.
Yes,"Because encourage students to maintain social distance, put on face masks and wash hands.",He feels good because he use to school life.
Yes,Encourage learners to wash hands and put on face masks.,He feels good because stadying without studying is no okay.
Yes,"Because encourage learners to seat one meter each, put on face masks and wash hands.",She feels well because she wants her children to continue with their studies.
Yes,"They encourage learners to wash hands, face masks and seat a distance of 1 meter.",She feels because she wants her children to learn.
Yes,The school will tell them the guide line to follow,I want to go back to school
Yes,Teachers are aware of it,It's good but year is almost ended
Yes,Our teachers are aware of it,Yes I want to go back to school
Yes,Teachers will tell them what to do,I want to go back to school
Yes,My teachers know it better,I want to return to school
Yes,Teachers are aware of it,We want children to go back to school
Yes,Teachers are aware of it,I want children to go back to school
Yes,Because the teacher are capable of doing that since we are under their care in school,To get more learning and keeping me busy am more ready to go the school
Yes,Because it is the duty of the school to keep their children safe,It good to go back to  school
Yes,Because  COVID 19 need  personnel hygiene to be Up to date,My concerns the children should to go back to school to learn more.
Yes,Because the school care much about our safety and health in school,It good to go to the school get more Knowledge
Yes,Because of COVID 19 for real,Am ready to go back to school to learn more things to achieve my dream
Yes,Because the school always care about the life of our children,My concern is the school to be reopened to keep children busy 
Yes,Classroom safety rules creation,Safety learning environment
Yes,Safety of school environment,Receiving lessons
Yes,Cleaning of school environment and cleaning of classroom,Attending lessons sharing some important information with my colleagues
Yes,Social distancing observation and revisions of last lessons,Attending classes
Yes,General cleaning of school environment and classroom arrangement for sitting,To attend lessons
No,Limited classroom,Children should go back to school so  that  are not spoiled.
Yes,Forget about Corona and put faith in God ,Her concern is time wasted.
No,Corona ,Nothing 
No,Limited classroom,Nothing to worry
Yes,No corona ,Nothing to worry
No,Don't know,The are Ready to go back to school
No,No,No much concern let them go to school.
Yes,Teachers can take care of all children.,No worry and be happy to see my children go back to school.
Somewhat,General cleaning of school environment,Learners to attend lessons
No,Nothing much,Is very important to return the schools.
No,No comment,Is good
Yes,No option.,Yes the children will come back to school for their learning.
,,
,,
No, Because I don't know language English and Arabic.,Will be very good.
,,
Yes,because we are going to make clearing in school before reopen., The children will be ready for getting their learning activities.
,,
Yes,Because teachers will arrangement all classes and start teaching learners,For students attend classes
Yes,Support them in school arrangement,Encourage all learners for learning again
Yes,Because I will inform all students to resume school again,Encourage all learners to go back for learning
Yes,Because I will support teachers and students in cleaning school environment,Safety of the school environment
No,Because I don't think so,Receiving lessons
Yes,Clean school environment,Teaching students
Yes,Because I will support in cleaning of the school environment,Encourage learners to go back for learning
Somewhat,Keeping classroom clean,Sharing information about education
Somewhat,Ensure safety learning environment,Attending lessons
Yes,Creation of structures and routines in the school,Keeping school safe
Somewhat,Sitting arrangement in the school,Attending lessons and participation
No,Because I don't know measures to ensure safe learning environment,Going to school every day to receive lessons
No,Because all teachers scattered during COVID_19,Ready to attend lessons
Yes,General cleaning of school environment,Attending lessons
Yes,General cleaning of school environment,Learning
Yes,Creation of classroom safety rules,Safety environment for learning
Yes,Keeping social distancing cleaning of school environment,Attending lessons and sit for exam to pass to next class
Yes,Morning parade every day,Quality learning
Yes,Keeping whole school environment clean,Health safety measures
Yes,Because the school will not want to see us contacting corona.,Schools should be reopened.
No,No water,School to open
Yes,No good learning at home,Good
Yes,So that we are not affected with corona.,Schools should be reopened.
Yes,With support fr the teachers,Good
Yes,No covid19 ,Good
Yes,No covid19,Good
No,Covid19,Not good
No,Covid19,Good
No,No.idea,Good
Yes,No covid19,Good
No,Covid19,Bad
No,Because school is very Bush,Government should reopen schools
No,Because it is very Bush,Government should reopenes schools
No,Because our environment us very dirty ,Government should reopene schools
No,Because lessons in class is better than on radio,Government should reopen schools
No,Because school is too Bush,Government should reopene schools
No,Because our schools is too Bush,Government should reopene schools
No,Because to get radio is very expensive,Government should reopene schools
No,Because school is very Bush,Government should reopene schools
Somewhat,The school has only one handwashing facility.,Am ready to go back to school
No,I don't have knowledge about it.,Good  the children to come back to school.
Somewhat,Because I don't have radio stations at hame.,Good for children to education.
No,Nothing about covid-19.,Good 
Somewhat,Nothing,To back to school compagin.
No,To be ready for getting back to Education.,Good 
No, I don't have any opinions., Good 
No,Nothing, Good reopen the schools.
No,I don't have any opinions on that., Hope it to repen soon.
,,
No,No,Back to school compagin
No,No,Back to school compagin.
No,No, back to school compagin.
No,  Because I don't have full access to that.,Will be Good
No,I don't know.,Back to school compagin
Somewhat,Because I don't know if they will be able to have them in the school.,Schools should reopen because may end up getting married 
No,I don't know,We need our children to go back to schools because at home they are not studying anything as you can see me i never studied and i can't help them at home as some parents are doing for their children.
No,The safe environment for learners during and after COVID-19 Is expensive ,The school adminstration should put COVID-19 measures in place.
No,Because i don't if they will be able to have them in  place.,I need schools to reopen because now some boys have gone to their initiation (Rupi) due to closure of schools.
Somewhat,Parents will contribute towards such materials.,Children have become redundantly at homes and we think school is the best option to control them 
Somewhat,Because the school may not provide all the required materials for schools to reopen but need support from NGOs.,I need the children to go back to school because the year is ending without school.
Yes,Because they need the children to in school and they will make sure learners are learning in a safe environment.,Schools are being damaged by rain and bushes in the compound. We need to be in school to keep it clean 
Yes,Because they need the learners to be safe and they try to provide such safe environment for learning to pupils in the school,Schools should be provided with the corona safety measures before opening 
Somewhat,They will have them in place since it's a precautionary measures set by the ministry of health.,The schools may not have the COVID-19 materials and learner will be at risk
No,Our school may not have the capacity of purchasing all these material for corona measures.,I thinks schools should reopen next year and we start a fresh since the tear is coming to an end 
No,Covid-19 materials are not present at our school and I think they are expensive ,The number of girls is dropping during this COVID-19 period 
Somewhat,Because am not sure if they will be able yo put all the required measures in place ,Children are engaged in bad activities in the community and we need schools to reopen as to be in schools most of the time 
Yes,Because there are some of the hand  washing materials available but few ,We seeing our colleagues (girls) getting married because of the closure of schools.
Yes,Because they will purchase the required materials to have learners back in school for learning.,Our community is not supportive when it comes to girl child education and when we delay we may not be allowed to complete our studies.
No,Most materials need money ,We are going to loose our academic year and especially for us girls we faced with a lot of challenges of forced marriage 
No,Because the school doesn't have enough capacity.,Hope the schools to reopen soon. 
Yes,So that we are not affected with COVID 19.,Schools should be reopened.
No,There is no enough money for the school to afford given the closure which has denied school the fee it was getting.,I have interest that schools reopen but without funds how will the school operate.
No,The learners are many and the school cannot afford to do that.,The year is coming to an end the learners will not acquire enough.
No,Am not sure if the school will do it.,Schools should be reopened.
No,The school can not given the big number learners which might require more classrooms.,Schools should be reopened next year because time has run out.
Yes,So that we are not affected by corona.,Schools should be reopened.
Somewhat,Because I heard over the radio that schools should be cleaning up their compound and  put all the measures in place for preparation of schools reopening so I believe  they will follow the guidelines of the task force,Am ready to send my children to school it good initiative because children are getting spoiled at home due to idleness
Somewhat,It is the responsibility and duties of the school to ensure safety and health of pupils while in school and parent take over from home,Am extremely happy for the government for reopening candidate classes such that they have ample time for preparation of exams
Somewhat,Because it will be very hard for the school to put everything in place because there are many things to put in place so the pupil themselves need to observe it especially hand shaking and social distancing while in class in absence of teachers,According to me it is now too late for the schools to reopen this year we should consider this as a dead year and reopen next year
Somewhat,Because it is the duties of the school to keep us safe while in school,We are ready to resume especially we who are in primary eight candidates such that we sit for our PLE this year
Somewhat,I believe so but due to economic crisis I don't think whether the school will be able put everything in place,"We are more than ready to return to school such that this year doesn't go without learning new things, am extremely happy for government for reopening primary eight"
Yes,Because our safety and health is Paramount to the school administration while in school,We who are in primary eight are excited because of reopening of the school we are ready to start our lessons Sooner
Somewhat,I have no idea because since the closure of schools I didn't go back to school,Am ready to return to school
Somewhat,I have no idea,Am ready to return to school
Somewhat,I have no idea because I haven't go back to school again,Am ready to go back to school
Somewhat,Because it is their responsibility to keep us safe while in school but the problem is with us the pupils sometime thing like shaking hands and social distancing will be hard to observe amongst ourselves,According to me schools should reopen next year because it is too late this year
Somewhat,I have no idea but last time when we came for cash transfer face one we found everything in place but pupils were not following the instructions for social distancing,Am ready to return to school
Yes,Yes because all the time while in school the do explain for us the safety and health lessons to keep us safe while in school before COVID 19,Am ready to return to school
Yes,Schools more helpful,So soon 
Yes,Schools environments conducive to Learning. ,As soon as possible to open
Somewhat,Schools have lessons environment,School to open is good. 
Yes,They take care of pupils,So soon to open 
No,Negative imPact. The teacher is not physically there. Through such device needs time to take place in South Sudan. At last 20 years. ,As soon as possible. 
Somewhat,"The boys got bored, but the ministry should take precautions. ",Schools should open 
Yes,We have proper class. ,It is good because we will interactive with teachers. 
Somewhat,Schools have good environment,To study fast
Somewhat,The number of children per class should be reduce. ,Schools are to open soon. 
Yes,No notes to read,"If schools are not open, i can not read"
Yes,We are few in the class ,I just want to go back to school
No,No band washing facilities,Yes
No,No hand washing facilities,Yes
No,No washing facilities,Yes
Yes,Hand washing  facilities available,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,Were not bought,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
Yes,Were given,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
Yes,No hands washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
No,No hand washing facilities,Yes
Somewhat,We need information from Ministry of Health about the situation of COVID 19,I fear about the Virus as it maybe still there 
Somewhat,I am not sure,I want to come back to school 
Yes,I think there is no Corona now. It's gone ,Nothing 
Yes,Corona is finished,Nothing 
Yes,God brought corona so we just continue to survive ,Nothing 
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,Children repeating the same class
No,I don't know,I don't know
No,I don't know,I don't know
Yes,Social distancing,Few months remaining for this academic year
No,I don't know,I don't know
Yes,Social distancing will be observed,Lack of facemask
No,I don't know,Repeating the same class next year
No,I don't know,Academic calendar may be very short
No,I don't know,Missing one year without studying
No,I don't know,The year is coming to an end
Yes,School administration will put measures in place,Time of studies may be less
No,I don't know,Possible to repeat the same class next year
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
Yes,We will make sure learners keep social distancing,Time for lessons will be very short
Yes,Because there more awareness about COVID_19,Schooling
Somewhat,There is covid 19 awareness,Learning
Yes,Social distancing will be observed,Where to get face masks for children
No,I don't know,I don't know
